"gene","M-F_log2ratio","pval","chr","human_ortholog"
"ASTN1",0.125488351312234,0.156618952765795,"1","ASTN1"
"LOC702153",0.125331162438048,0.295074580895085,"16","KRT10"
"RAB28",0.125185294657205,0.155850741001198,"5","RAB28"
"COPE",0.12498674170266,0.148643119295763,"19","COPE"
"SUGT1",0.124978145241332,0.00701964578999259,"17","SUGT1"
"ANKRD10",0.124302166553297,0.0885566264707101,"17","ANKRD10"
"DAP",0.124270349371978,0.226556506162235,"6","DAP"
"RAB11B",0.124159111691971,0.152143335506195,"19","RAB11B"
"HS3ST4",0.123990298003863,0.225496683828573,"20","HS3ST4"
"LOC711164",0.123899140674349,0.0581487478442351,"11","SUOX"
"CADPS2",0.123854941736184,0.0706730958536402,"3","CADPS2"
"EEF1G",0.123770705635717,0.239681272563542,"14","EEF1G"
"AKR7A2",0.123649055395501,0.0623333656243461,"1","AKR7A2"
"NT5DC2",0.123449682760724,0.0788826613474606,"2","NT5DC2"
"TAX1BP3",0.123254559376801,0.126230712645487,"16","TAX1BP3"
"MLLT1",0.123049617499897,0.088414879764251,"19","MLLT1"
"LOC100427824",0.122532960834266,0.0679485334454935,"3","JAM2"
"ISCA2",0.122286886903492,0.169306128784822,"7","ISCA2"
"UBE2C",0.122254609063919,0.21807796565618,"1","UBE2C"
"C19orf56",0.122138999122105,0.171869906381682,"19","WDR83OS"
"HDAC6",0.12200847158469,0.0847705809730237,"X","HDAC6"
"KIAA0586",0.121997093434362,0.180623975447265,"7","KIAA0586"
"LOC696112",0.121886939620345,0.14507515188659,"16","C11orf10"
"MELK",0.121679608447209,0.180604027638387,"15","MELK"
"SLC35B3",0.121561455380552,0.169362872491072,"4","SLC35B3"
"POLR2G",0.12142363928532,0.169342735395757,"14","POLR2G"
"CLDN1",0.121392366446412,0.203725475297582,"2","CLDN1"
"LOC717745",0.12138611212436,0.057187704819163,"10",NA
"TSEN2",0.121342774081798,0.105015169917842,"2","TSEN2"
"LOC100430627",0.121228778270932,0.0045004200513391,"16","CCL4"
"DGUOK",0.121178467264291,0.251549993180142,"13","DGUOK"
"ANXA4",0.121117914448422,0.299410712185211,"13","ANXA4"
"LOC100429311",0.120829376208144,0.150444900692524,"7",NA
"LOC719983",0.120801643023947,0.223236911934698,"3","MDH2"
"CYR61",0.120587547547481,0.192630905317601,"1","CYR61"
"ATP11A",0.120487149242695,0.0874541377225155,"17","ATP11A"
"VIM",0.120176605447568,0.103998808104505,"9","VIM"
"GNAS",0.120143863678103,0.264993733393229,"10","GNAS"
"NR2E1",0.119722835389834,0.223551145320888,"4","NR2E1"
