"age","gene_acronym","DPall","MPall","SPall","p2A"
"E15.5","Fgf4",0.058606,0.0528174,0.0401598,0.0141493
"E15.5","Fgf5",0.014051,0.0131011,0.0173705,0.00743676
"E15.5","Fgf6",0.0410031,0.020809,0.0270902,0.0128132
"E15.5","Fgf7",0.00850728,0.0076993,0.0237075,0.00295251
"E15.5","Fgf8",0.0217069,0.0134945,0.0155917,0.010561
"E15.5","Fgfbp1",0.235157,0.560406,0.0534066,0.0108701
"E15.5","Fgfr1",1.15232,4.58572,0.667772,1.59648
"E15.5","Fgfr2",1.90781,3.44158,2.49155,1.73081
"E15.5","Fgfr3",0.13186,0.71801,0.235591,0.401133
"E15.5","Fgfr4",0.0293382,0.0228601,0.0943369,0.00258423
"E15.5","Fgfrl1",0.0179849,0.00521988,0.029166,0.00192364
"E15.5","Fgl1",0.012289,0.00401153,0.00948892,0.014056
"E15.5","Fgl2",0.0353216,0.022837,0.0150156,0.0168044
"E15.5","Fibcd1",0.0212841,0.0457516,0.053461,0.031811
"E15.5","Figf",0.00364038,0.00410278,0.00634645,0.00126003
"E15.5","Figla",0.0143641,0.0651994,0.0348278,0.00864013
"E15.5","Fli1",0.882478,0.644695,0.800153,1.03175
"E15.5","Flt1",0.741205,1.02446,0.857808,1.44122
"E15.5","Flt3",0.206463,0.0210009,0.0450412,0.0382643
"E15.5","Flt4",0.100835,0.113663,0.0739185,0.120127
"E15.5","Fmo1",0.0709492,0.0970127,0.0390714,0.0334892
"E15.5","Fmr1",0.196922,0.2062,0.138688,0.0592226
"E15.5","Fn1",7.01677,3.66287,3.84246,3.16171
"E15.5","Fndc3a",0.0274303,0.114125,0.0956718,0.427986
"E15.5","Fos",0.013181,0.0168351,0.00849864,0.00470784
"E15.5","Fosl2",0.59213,0.391259,0.355694,0.0889782
"E15.5","Foxa1",0.0179945,0.0382054,0.01162,0.153317
"E15.5","Foxa2",0.00801411,0.0162393,0.0204841,0.00824143
"E15.5","Foxa3",0.00558622,0.00330733,0.00541872,0.00574998
