NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
LOC713545	LOC705675	LOC716656	LOC716225	RASGRP2	NRGN	SH2D5	AGXT2L1	LOC722715	RIT2	DEPTOR	MEGF10	LOC718945	CD74	HPCAL4	WIF1	ANLN	LOC715163	CXCL12	MT3	ZMYM6NB	MYBL1	CNTN6	GPR89B	ANXA11	GANC	OGN	INA	TIMP3	DCN	TMCC3	CLN5	LPGAT1	PEX5L	PDCD10	C9H10orf90	ITGA8	NREP	LOC710076	LY75
LOC100428796	ATXN1	AGT	LOC715354	CADPS2	CRH	CA4	CATSPER2	MED13	STYK1	LOC100426615	MED23	LPAR4	RNASE6	NPY2R	SHISA3	LOC718307	CLIC2	THRB	NPY5R	LOC716409	SCAPER	NPTX1	GALNTL2	VMO1	LOC720058	PTPN4	C14H11orf87	CACNG3	RERG	BCAS1	DAAM2	TCERG1	TAL2	PDK4	C3H7orf61	LOC719578	VRK2	ZYG11B	S100B
SLC8A1	GPR126	BMPR1B	SULF1	IGF1	FMN2	ITPKA	C3H21orf33	LAMP2	PAK7	LOC716656	MYBPC1	NQO1	VIP	KCNJ9	AKR1C1	LOC100425364	KLK6	NOG	RASGRP2	MED13	NQO1	TNRC6B	WIF1	F2RL1	ZBTB16	LIMD1	CREG2	EDNRB	LOC713911	METTL7A	PLCD3	TMED5	ZNF281	JPH1	MOXD1	LOC712107	LOC708964	LOC100431070	SDC4
CRYM	FAM198B	SLC8A1	ODZ1	SLC24A3	LOC717880	PAQR6	RASSF6	EPM2A	LOC100430657	LOC700098	LYN	EPHA6	SYT17	WIF1	KLC2	RPA3	LOC699426	LOC712107	WNT10B	PLSCR4	ELF1	LOC100427724	PIP5K1B	MCM9	S100A1	NQO1	RUNX1T1	PTPRZ1	GATM	PLP1	PTPLAD2	LOC708335	ITPR1	CREBRF	CST6	CNTNAP4	WWC3	DOCK7	LOC706585
CDH13	LOC700098	MAP4	ARAP2	PTPN5	TMED5	UGT8	LOC713204	LOC707371	L1CAM	LOC715581	LPCAT2	SPATA6	LOC100424432	SAMD8	CBR3	DOCK10	FAM82B	LOC100425879	SYNGR3	GRAMD3	CTAGE5	AQP4	CA2	ACSM5	CRYAB	SPG20	ARPP21	LOC716656	VIT	PTPRU	LOC709015	ACTN2	FOLH1	C7orf46	GPR37	CHGA	MYLK	SLITRK6	ITPRIPL2
LOC716670	F3	IGFBP5	PDZRN3	TNC	KCNS2	LOC711108	CES2	TTC30B	MAPT	BBOX1	TLL1	ELOVL2	TNRC6B	NCDN	ALKBH4	PYGM	SELO	LOC100430777	LOC696983	GJA1	CEP135	SLC35F3	LOC706847	LCA5L	LOC717104	HIPK2	PCDH8	FAM46A	RGS5	LOC719201	RSPH1	SLC7A14	LOC710213	BMPR1B	LOC695160	PRKCH	LOC714309	ARL11	RNF125
GRIK2	NEDD9	CNTNAP2	TMEM196	SLC12A5	ITPR1	ADAMTS4	LOC713110	LUM	PALMD	ST8SIA5	LOC100429378	ZNF638	PACSIN1	LOC712753	RHAG	CXCL12	PITRM1	PCDHA6	HEY2	LPCAT2	GREM1	EGR1	PION	SERPINB1	LOC695413	COL4A5	PLCXD3	NKX2.2	SOX9	LOC717240	CASP1	PION	SDS	ZNF267	EPCAM	ATP1A2	BEND4	IFT80	SLC16A3
TRIM36	LOC696983	GPR34	LOC702232	CTSL2	LOC699284	COBL	SCN7A	FMOD	BAALC	SLC32A1	LOC714309	LARP1B	KLHL24	DOCK10	LOC715264	LOC716031	CHCHD6	FABP7	LOC699459	SLC1A3	C5H4orf33	TNIP3	LOC710209	LOC100425265	OLFM4	TSPAN6	DSCAML1	FGF1	SMAD5	SERPINB13	LOC100424959	GALNTL2	SCN1B	RGS20	CBR1	KIAA1024	PSD3	SYT16	ADAMTS3
KLF16	MYO16	GUCY1A3	SCAPER	NEFL	C8H8orf4	HHATL	FEM1C	LOC711575	LOC712931	KCNC2	ZMYM6NB	SEMA3D	LOC718169	SEC14L5	LOC723071	LOC100425265	GAPVD1	TGFA	NPNT	CLN5	LOC716225	NKX1.2	DLD	TTPA	LOC714346	DEPDC1B	KLF12	PTPRU	LOC714309	PPIP5K2	BMPR1B	LOC712485	MST4	CHIC1	PDE8B	TANC1	ZNF281	LOC717240	LOC712238
THBS1	LOC706574	KAL1	IGDCC4	KCNS2	SIRPA	DGKB	S100A1	CNTNAP5	ASNS	KCTD4	LOC721986	ELF1	FOLH1	ST6GALNAC5	LOC697272	LOC712757	CALY	HSPA12A	ABCA5	P2RY1	FEM1C	LOC712710	CAPN14	CES2	LOC711550	LOC715264	SLC6A1	HS3ST5	SLC1A3	COL3A1	WWC1	DHX15	GPX2	NKX1.2	HSPB1	RGS6	C14H11orf87	COL3A1	SPOCK1
BEND6	MB21D2	LOC716409	P2RX7	LOC100429880	TRHDE	CPEB1	PKM	LOC714047	GAD1	C14H11orf87	GPR64	LRP2	SORL1	MCCC2	FOLH1	C7orf46	CDK5	SLC1A3	PAQR9	LYN	CALCRL	LOC698067	OTUD4	ALDH1A1	IRX3	HRH1	NPY5R	HAS2	PVRL3	UNC80	C15H9orf135	SLC24A2	HTR4	CCNT2	CRB2	SRPX	G3BP1	ELF5	PLXNA2
