E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
BCHE	RECK	COMMD9	CDC42EP2	CRELD1	IL15	ELK1	LOC701932	LRRFIP1	LOC100430870	LOC721131	SOST	CLEC1A	USP25	NOP58	LOC708454	LOC709077	PDLIM5	CKAP2	GABRA5	SLC12A5	FEM1B	SSTR1	TMEM216	FAM113A	LOC713917	LOC709652	HNF1B	HN1	LOC705636	RRM2	ZNF503	LOC705659	MORC2	CLIC2	HARBI1	C2H3orf70	TTI1	TSN	PHF15	BEX2	TPPP
CPM	DNAJC30	LOC711848	LOC696998	CALHM3	NAGA	RAB18	LOC714325	DOHH	EML1	LOC713797	LOC707625	CC2D2A	LOC100425589	CAND2	LOC713845	C1D	ERMN	LOC708723	PRR3	KIF9	LOC714530	CHCHD1	VCPIP1	RBBP7	GABRB1	PRKAR1B	KCNA1	ELOVL3	PLEKHA7	ANXA11	ETS2	MPPE1	LOC100426795	GEMIN8	PARP14	PMP22	SPOP	FZD10	DUSP11	LOC701911	METAP2
LOC699908	LOC701932	PADI2	LOC707681	HS2ST1	ZBTB3	MARCKS	GABBR1	RNASEK	LOC713946	FBXO9	NLK	PTAR1	TMEM126A	DUSP1	LOC100426653	MCCC2	MEPCE	CD3D	SLC36A1	LAMB1	UCN	FANK1	TM7SF3	SEC61A1	CLVS2	CHIC1	BOLA1	KIF3B	LOC697675	RDH11	KLHL18	TSTA3	DCTN3	LOC716399	ARMC1	TNFSF4	RBFOX3	DNMT1	ATP1B1	IRGQ	TMEM182
LOC716691	SLC5A3	GRIN1	PPP1R3D	LOC701646	LOC703512	PRKDC	MRPS35	NPAT	LOC722581	CTSL	MARVELD2	CAPG	LOC100426255	STK31	ATP6V1D	PSTPIP2	LOC717212	LOC715335	B3GNT1	LOC100427368	LAYN	IL1RAPL1	CGRRF1	CLCN5	HENMT1	LYPD4	HEMK1	SCAMP1	ZSCAN20	MCF2L2	METTL18	NSUN2	SH3BP5L	PIP4K2C	RNF181	MAP3K6	DDX19B	MAGEE1	FZR1	LOC722786	IFIH1
TRIM11	MGAT4B	IDNK	TMUB1	GSTA4	RPRD1B	RAP2C	NOC2L	MFSD4	DCTN4	SUPT16H	ISL1	TMEM183A	GID8	TXNL4B	LOC100424562	LOC712938	DPP4	PRELP	PDGFB	ACSL4	LUC7L2	LOC715135	CHD1L	USP46	NKRF	SLC36A1	LOC712845	AVPI1	ZNF410	IKBKB	KDM2B	SIRT6	LOC701722	RAGE	ZMYND12	RAD9A	LOC719288	GCK	CCDC64B	LOC697390	TGIF2
PLCE1	MEF2A	IFT122	CENPK	MICAL2	TMEM188	MAN2C1	COMT	ZMAT5	COL9A1	CRB3	LOC705534	LOC720111	LRPPRC	LOC709098	C9orf125	DCP2	SLC10A7	KLF3	LOC722137	FEN1	LOC719614	ABI3BP	EVI2B	STK40	APBA1	LOC715973	TXNDC11	ANXA7	RGS18	NR3C2	SPTSSB	RNF19A	C16H17orf62	BCL2L13	LOC694416	LOC710700	RGS4	FAM210A	ATP2B3	GBE1	RBM15
DNAJC1	LOC100424182	TMEM50A	PPP1R15B	LOC100429270	PITX1	LOC721470	HSD17B4	ABCF3	NPAS2	VLDLR	C6orf125	C3H7orf43	LIN52	DDIT3	SLC16A5	TIPRL	LOC693481	FAM118B	ABI3BP	LOC713785	ABCC13	TTC30A	SRSF7	FBP1	RAP2C	PKNOX2	ATP9A	LOC707967	LOC697977	LOC717916	LOC718484	KIAA1324L	LOC702233	C6H5orf49	IKBKB	LOC709184	BMPER	GPRASP1	LOC718626	PIGK	ALMS1
DBNDD1	SEPX1	SIRT7	RIBC1	PPM1J	ITGA8	GNG7	FAM82B	ATRAID	LOC705519	LOC698160	LOC696549	DNAL1	RINT1	LOC722205	LOC721566	SYNPO	SRA1	SLC44A3	LOC699821	LOC100428076	RBBP4	TRPC1	LOC710830	LOC713858	PLEKHM3	GAD2	LANCL2	L1CAM	IL17RA	TEAD1	EFTUD1	DDT	FAM53C	NDUFS4	IGSF1	LOC717189	RWDD2A	HK1	ZNF295	LOC100424074	RAP2C
DERA	LOC710076	DOCK1	SYNPO	LOC707785	RPL38	MET	LOC712305	LOC696174	ANKRD32	LOC100423695	ZC3H8	LOC714951	HS3ST1	CWF19L1	LOC704166	C18H18orf34	ZBED1	KDELC2	LOC703104	LETMD1	NAPSA	ZNF280D	LOC710179	TWIST1	CLDN12	CD300E	DGKZ	FHL2	LOC711693	TMEM245	ALCAM	LOC705720	TUFM	LOC719600	RPL10	SLC39A2	GPR61	CSTF2	POM121	LOC711526	LOC100425522
C1QL1	ZNF319	LOC100429485	DLK2	AKAP11	TTC30B	RNASE6	NEDD8	DUS2L	GABRB3	ABCB4	MAP7D3	AKAP14	BRD8	AKAP11	LOC717686	LOC100427527	APEX2	TMOD2	ATAD1	SLC6A17	LOC709315	IFT140	PGRMC1	SYNPO	KIAA1024	NFKB1	MAST2	LARP4B	NCAPG2	SNAPC4	LETM1	OXR1	MPDU1	ELK4	ITGAL	GPR89B	LOC703864	LOC100430627	ARHGAP9	GHRH	PYCR2
CALCOCO2	ZFP161	RCE1	UGCG	HSD11B2	INSIG2	LOC712734	CANX	SLC44A5	RECQL5	HGS	NPHS2	HNRNPF	LOC100426759	SUMO3	LOC708599	TTR	CPNE3	C11H12orf57	TTC8	TAF6	ZNF641	MAT1A	VANGL2	WAC	HPCAL4	TSR3	IP6K1	LOC100425350	LOC704003	LOC100428434	LOC697938	NDUFC2	TRIM46	C14H11orf83	SPECC1L	LOC100426025	SLC6A11	LOC708283	RAB11A	EPHA6	ZNF318
ADHFE1	LOC719067	CLP1	C5H4orf45	MPDZ	LOC713159	ACSM1	CCDC101	SMC4	TRIM36	LOC100424284	ELMO1	ASPA	LOC719662	LOC699057	ZNF699	TAF1D	LOC713753	CD276	LOC709341	NARS	HNRNPD	HGS	GFRA1	FYCO1	LOC704478	WDR74	RNF44	CUL2	LOC696512	LOC713029	MYT1L	NCOA7	MEF2B	LARP1	MYD88	PDE8B	TUBA4A	PFDN2	PUM1	POLR1C	LOC709202
PPIC	DPYD	KLRAQ1	SPAG11B	AFF1	ZFPM2	LOC100426170	MRPL44	FAM113A	ATP6V1G2	CD38	LOC722191	WRN	CDK12	INSIG2	NRSN1	RAB11A	PCTP	DENND5A	ATXN1	HNRNPD	SCN1B	JAZF1	SCOC	PTGR2	SLC24A4	LOC701574	VPS18	PLEKHA2	COMT	CCDC80	GZMK	LOC703515	DDX39A	TTC9C	ZNF280C	STX10	FAAH2	LOC718026	PRMT7	ZMAT3	SEMA5A
CCDC102A	LOC713975	ADD2	GPM6A	LOC695153	LOC708579	MAMDC4	LOC700914	MMP24	CHST15	NLRC4	LOC713858	UQCRB	AKT3	PHF20L1	AMD1	PPP2CB	LOC721674	HBZ	HDAC3	VPRBP	LOC100426875	LGALS8	ELAVL1	VAMP2	ARRB2	BDKRB2	CAPN1	LOC709652	UEVLD	LOC715449	CCDC3	HEATR2	LOC709739	LOC100425400	ADAM9	C1QL1	LOC701698	PTPRB	LOC705045	PAK1	CHD4
LOC713911	SGPP2	COPS5	FAT4	AAMDC	LOC574319	AKAP3	UBE2N	TMEM167B	TBC1D24	SCAMP2	FDCSP	IQUB	LOC100428544	GLMN	LOC699214	APBB2	UGT2B15	LOC722628	SCN3B	PDHA1	GNAO1	LOC714963	CDCA3	KCTD12	USP2	UBR3	LOC712341	ARMC2	PLCG1	TTLL10	ASH2L	CDYL2	LOC695160	LOC719890	SLC38A6	E2F5	CYC1	FBXW7	TRMT11	AIM1	SEC63
TNIP1	DDX21	B3GALT4	LOC694472	SH3D19	SLC16A5	CALCR	TEX264	LGI2	TCTN1	LOC701810	C19H19orf54	LOC719305	SFMBT1	LOC711416	TOM1L2	RHBDL1	LOC100428557	RAB7L1	DHPS	MAGOHB	PMM2	FKBP8	ARHGEF10L	LOC100424540	LOC707467	OSCP1	ZDHHC3	CHTF8	BANF1	LOC722609	STMN2	LOC706977	C11H12orf44	ADSS	LOC711039	LOC100426334	RRP1	VPS4A	LOC697203	DOPEY1	LOC707743
CDHR1	LOC703794	LDLRAD4	TSPAN9	AAMP	IRF2	TXNL1	ISG20L2	SNX17	TTLL12	ACACB	SETD5	LOC709469	ABCC5	TSPYL5	LOC711835	SPATA7	LOC703155	FARS2	CDK5	CDC37	MAPK11	TUBG1	UBFD1	IRX1	STARD10	SLC32A1	NGFRAP1	PCDH17	HIBADH	IGSF9	TRIM37	MKL2	PIP4K2B	PUS10	LOC709169	STK40	LOC706977	PPP1R2	CNTNAP4	ARMC8	GKAP1
LOC710110	PDHA1	LOC574390	CAPZA2	PTPRK	FGFRL1	LOC702759	SLC25A3	GXYLT2	GAP43	LOC713213	ARAP3	SNCG	ANTXR2	EIF1AX	LOC702519	UPF2	EFHD1	FMO4	FAM126B	LUC7L2	NOL6	PSMB5	ALKBH2	SLC5A2	GSK3B	PPP1R36	SLC25A28	LOC100430639	SLC12A9	DLG5	GOLPH3L	IGIP	RAB24	LOC718456	CEBPZ	CYTH4	FGF10	LOC721737	NISCH	PIK3CB	NUDT2
ITGB5	DDX49	LOC708601	LOC708067	SLC25A30	LRP12	TMEM97	LOC100424434	THAP2	TXNDC9	TTC7B	LOC716986	ZNFX1	MRPS35	SOS2	ERLEC1	SMAD4	PUF60	COL21A1	PDCD2L	DYNLT3	HSPB2	TBK1	AHSP	STAG3	DYNLT3	FHL1	SIRT7	LOC721476	PLSCR4	DPY19L3	NOXRED1	SLPI	TTBK1	LOC708601	ITGB3BP	GPRIN1	LOC705851	CYCS	LGALSL	CEBPG	STX11
MAP1LC3B2	NOC3L	MORN4	LOC100425286	SUMO1	PTGS1	LOC703831	LOC100425653	RNF187	CALCRL	ARHGAP31	CCNB1	PRKACA	PHIP	GPR6	TMEM138	CDKN2D	SPNS1	CYB5R1	SLU7	LRRC40	TMEM42	FANCI	SLC16A1	TNRC6A	ZNF331	ATF4	FTSJD2	DCLK1	LOC717104	EXPH5	ATP6V1G2	SH3KBP1	LOC699426	TBC1D24	ZBTB41	PIP5K1B	FBXO32	PPM1K	P4HTM	LOC717818	CCDC8
CFLAR	LOC712442	PTGS2	LOC721633	RAPGEFL1	PIAS3	WBP1L	LOC722620	G0S2	RALYL	LACTB2	LOC100427799	LOC721815	LOC698874	KIF5A	RNF111	LOC719774	LOC712140	LOC704042	LOC100429804	SLC4A10	LOC719429	TAF6	LAMA1	PYGB	SGIP1	PLDN	LOC715581	GPR63	STYX	NRXN2	NKX1-2	ARHGAP32	OSBPL10	DDX20	SAP30L	LOC707650	CLSTN3	LOC718240	LOC716385	SDAD1	NUP37
DCK	PTPMT1	SLC38A6	SMG7	FAM198B	ART5	CTDSP1	SLC25A28	TAGLN3	SLC9A5	VAV2	LOC100426292	KCNJ16	GAS2	SLTM	AACS	GNB1	LOC712067	LOC699417	MAGEH1	RB1CC1	LOC100429380	CEND1	ME2	LOC712321	PGAP3	ZCSL2	LOC721604	LOC711021	TLR8	GAB3	NXPH2	LOC719604	KNTC1	LOC100428796	BZW2	PGF	FBXO44	ZNF799	MORN1	SF3B1	PRSS35
CSF1R	SSR1	C3H7orf25	SCAMP5	LDB2	SLA	LOC100426375	LOC714789	LOC711900	IFRD1	OPRD1	GNA14	AGR3	EXOSC5	TSPAN9	LOC716130	SNAP47	LOC693476	P2RX4	LOC697608	LOC711631	FAM43A	LOC700137	HYDIN	CYGB	FSCN1	FIG4	KCNS1	RMND5A	FLI1	STK38	FANK1	CRY2	BDNF	SUSD4	TRA2B	SPEG	LOC716330	SRP72	TACC2	SCLY	PIGK
WRN	LOC696112	RIPK2	SH2B3	METTL6	XYLT2	CCDC167	LOC707094	LYSMD4	ERGIC1	PTPMT1	ZNF107	JOSD1	ME2	LOC698649	CACNA1D	LOC704198	FLI1	LOC717766	LOC100430672	BRP44L	HEBP1	C2CD2L	SC5DL	LOC719183	ANAPC1	GLDC	AREL1	LOC704204	FGL2	AHR	LOC694924	CDK5R1	EIF4A2	SDC1	METAP2	STK11	RIMS3	RBM4B	ICAM1	GPR158	LOC694390
DCTN5	LOC100423705	ZCSL2	LOC100429153	FAM196B	TRPC7	VWA5B2	LOC718705	AIP	RTN4	NNT	LOC695413	LOC714601	TREM1	TET1	GCAT	C11H12orf68	TMEM150A	NAGA	OTUD6B	TIMM10	SF3B4	MRPL2	ZNF528	GSTP1	TAF1	LOC716520	FRAS1	ALAS1	DCTN5	LOC718761	TMPRSS7	PRICKLE1	INPP5E	LGALSL	PHF10	HBE1	VPS13D	DUSP14	RTN2	ECM1	RSG1
HCST	RPIA	EMC6	LGI1	KPNA4	MDM2	LOC699046	TRIM33	DOCK3	LOR	LOC712536	LOC715193	RHOBTB2	WAPAL	RWDD3	CHRD	POLR1C	CRIP1	AFF2	SF3A3	ACP2	LOC722126	EPHB6	C11H12orf23	MMP19	CHORDC1	ZP2	NDUFS8	UBE2O	MSR1	FARS2	SPRED2	FAM136A	ADAL	EEF1E1	UBP1	SARM1	INPP5B	LOC708751	LOC711027	HILPDA	RASSF8
SLC1A2	ING2	CWF19L1	HMX1	CD3G	ZNF189	RILPL2	LOC721737	MSRA	KLK8	LOC718989	TNFSF10	C7H15orf52	LOC705941	SNAP47	ZNF107	LMAN2L	ESPL1	XPA	CDK5R1	LOC721817	LOC695153	CPEB4	RNF138	RSL1D1	ZFP90	C1H1orf123	PPP1R11	PDCD2L	DDX47	LZTR1	LOC694910	LOC716917	YWHAH	LOC722577	GUF1	LOC706007	TNK1	KCNIP3	ARAP3	IQGAP3	APAF1
TLR7	GPBP1	MRPS34	OTUB1	LOC703488	KIF1C	MRPS25	LPHN1	PRR13	PDF	ARHGEF28	TRIB3	ANXA5	OSBPL5	THUMPD3	SH2D3A	LOC703753	HUS1	NEURL1B	MAT2B	LOC697233	AP3B2	NDRG1	LOC722738	AURKB	SMAD4	CAMSAP1L1	RHBDL1	DHPS	MED17	LRRC41	GREB1L	AHSA1	ZNF248	PAK3	LOC699403	GUSB	LOC698649	SCAMP1	APBA1	GLMN	CDK18
PPP1R1C	SLC36A1	NSUN2	ACTR3B	KLF9	FAS	PCCA	UBE2K	KLHL21	ELK4	APOBEC3H	CRTC2	ZNF296	LOC694075	KIF27	ATP1B4	LOC696882	LOC693900	LOC712219	DYM	LOC698250	SYT3	ZCCHC8	BET1	ID2	LOC713976	COQ6	IRF2BP1	C19orf62	DDIT4L	SHC2	CHMP4C	FBXO10	LOC100429709	C3H7orf60	NAGK	ROM1	ZNF671	LOC722157	CDS1	LOC716970	SERBP1
TAPBPL	DYNC1I2	NRG3	ADAMTS2	DNAL1	PAPOLA	ARHGAP18	MRPL38	CRMP1	NR2F1	OLAH	LOC100425958	LOC100430969	LOC704728	LOC716094	RAB11FIP4	GPD2	GSTZ1	LOC718537	CAND2	KIAA1409	PHF20L1	TSKU	MTMR6	LOC720310	LOC697267	NECAP1	PET100	LOC721694	TMEM107	AIRE	ACTL6B	CADPS2	RYR2	NEIL1	IVNS1ABP	EXOC3L4	PMPCB	PDE10A	NCOA3	FILIP1	LOC697992
PIP4K2B	DCTN2	PSMA1	LOC712107	LOC703950	TOP2B	FKBP10	PARP8	SLC25A13	LOC705570	SDCBP	LOC700270	TNFRSF1A	B9D2	HDAC11	NDST3	ANKRD13C	PCNA	CMTM3	ARAF	BDNF	GNAZ	LOC707129	DPY19L3	LOC705456	ABO	LOC722350	MAPK8IP2	LOC710549	MOCOS	DENND2D	ARMCX5	R3HDM1	LOC693729	GALNT14	LOC721549	LOC716777	EXTL2	NRXN1	OGFR	B4GALT5	LOC712753
TH1L	IL12RB2	LOC100423976	TXLNG	LOC702339	TSEN34	ZC3H3	MCL1	FMR1	OAS3	LOC711865	LOC693599	LOC706425	LOC717998	ANKIB1	MYO1D	CPLX3	YES1	GNA11	RTN1	SNAI3	CUL2	SPATA2	NCAPG	GUK1	CREG2	OSTF1	KIF3C	SPRY4	CCDC126	LRIG1	JAG2	LOC715300	OPCML	AP2M1	BCOR	NCOR2	PRKCB	ATL1	GHRH	BAIAP2L1	NAA35
LOC694656	NDN	RWDD2A	LOC100425400	ZMYM6	FGFR1	PLEKHG1	SNTA1	NPRL2	FAM158A	ROGDI	UNC119B	DPYS	CDC123	LOC706539	LOC703990	LOC100424074	TNNI3K	PPP6R1	LOC100430639	BTBD9	ZMIZ1	ENO2	SEMA5A	BTG4	SOBP	LOC707795	LOC722330	EXTL1	LPL	DLG4	PTGS2	PNMA3	LOC100426044	SLC25A22	SMIM15	CNTNAP4	LOC719305	CDC25A	ZMYND19	OPCML	RASEF
PLEKHG5	ZNF669	STX18	LOC100428250	ABCE1	LOC697030	LOC717773	BCL7B	KLHL7	LOC714949	LOC706563	MOB3B	ZNF397	PANK4	GABRA5	LOC712579	LOC718729	LOC703641	S100A6	ZC3H14	DGKA	C19orf22	USP9X	LOC700283	RAB7L1	LOC699426	C11H12orf44	TEX10	MAGEE2	PIPOX	PPARA	KCNA3	LOC698314	LOC695887	OGDHL	SLC35A5	XAF1	ANAPC2	CAPN10	KCTD8	EBF2	CFB
LOC100423493	OPTN	LOC719089	EPCAM	TOB2	ZSCAN2	ANAPC13	SLC6A8	NFASC	ELOVL6	KIF6	ST13	MUC4	MAGED2	LOC707654	PHF1	CCDC147	LOC710830	LOC698659	NAV2	VPS18	LOC100429153	OGFR	PSMA2	LIFR	TXNDC9	MAPK8IP2	LOC718481	EFNB2	PRMT2	LOC713191	EGR1	SOCS5	OSBPL7	ACTC1	UBE2L3	MRPS5	ADRBK2	POLDIP2	NELL1	LOC678699	LOC695815
LOC100429982	SCAMP1	DDX6	LOC100424692	AP1M1	SOX10	LOC699396	PPAN	LOC707601	IFT88	LOC100424920	LOC719560	YBEY	SPINT2	LARP4B	LOC709469	NASP	LOC711290	TP53I3	PPTC7	GPR19	RAB9B	LOC700406	LOC719214	LOC714840	KCNJ9	AP3D1	LOC100428865	ATMIN	PRMT3	LOC693820	VPS13B	PKNOX2	MRPS25	UBE2O	LILRA2	AIF1L	TOX3	CIART	EGR1	TIMM23	LOC700296
TAF1	DNAJC13	SLC20A2	FAM156A	LOC711421	TK1	LY75	LOC709300	LOC696449	CDK5R2	LOC704283	TROAP	AGPAT2	LOC713804	LOC700039	LOC716349	PDE8B	DHX37	NADKD1	LRFN4	LOC100423826	LOC100424360	GSTA4	ST6GALNAC2	LOC693771	NEFL	LOC702233	PPP6R1	ATP13A1	HAUS8	KANK1	LOC716868	HIVEP2	SCN1B	HARS	PAWR	DCHS1	DDX24	CLMN	LOC699214	SQLE	STX16
LOC710721	FBXW8	FUCA1	MLL2	LOC716524	ST5	LOC693573	DNAJA3	ELP4	GABRA4	TEF	FLNA	LOC100423096	ACTL6B	FBN3	LOC721400	LOC709313	MTHFD1	LOC714844	CCDC28B	TRIM7	ZBTB45	TTC27	FERMT1	TTC12	NBEA	MAP4	LOC100430531	SYNJ2BP	LOC714595	SEPHS1	LOC696918	SERAC1	SLIT2	DLG1	LOC706341	LPAR6	FGF14	TMEM147	DCP1A	PROK2	C11H12orf23
C13orf26	SLC6A11	GLRX3	SLC15A4	LOC713262	FOXQ1	ISG15	MAP1S	AMFR	NARS	LOC702041	SLC7A8	TRMT61A	LOC100429782	LOC700150	ARID3A	LOC714447	LOC702690	MRPL53	SYBU	LRRC49	GTPBP8	LOC703488	LOC713561	BZRAP1	DCUN1D5	BTG1	WIPI2	TBC1D30	CACHD1	TRPC7	LOC718865	VPS8	FAM113A	MAGEL2	LOC701494	ELK3	ELL	ANKRD29	B4GALNT1	HSP90AB1	DNAJC14
HELT	MKKS	LTB	SKIL	EXTL2	ATAD2B	SLC4A3	TMEM151A	TASP1	TEKT1	AMD1	ERG	C19orf61	BCAS4	GNL3	TMEM41A	LOC709612	SLC41A1	PDGFC	EXOSC2	TRIM37	OGDHL	PNKP	CTDSP2	MTMR3	SPTLC3	GBAS	LOC697825	WDR60	LARP6	MUTYH	ATPIF1	AKAP6	FERMT1	FAM131A	MAOB	POLR2F	LOC100428076	OSBPL3	SLC4A5	LOC699003	ZNF20
TPCN2	MCC	NDUFA10	VAMP4	TRAM1	BMP6	LOC703270	RMND1	MRPL28	SMUG1	EPB41L1	KIAA0232	RAB31	FAM165B	SPATA5	ANKS1A	SLC32A1	AVP	POLR2I	PSMD7	PPP1R9A	LOC706977	FAM193B	ZNF592	SSTR1	RAET1E	CYC1	LGALS3BP	MYH10	PPP1R1C	IRF8	PLK4	MAMDC4	PEMT	LOC100427478	SLC39A7	CALCRL	EGR1	PPARD	LOC703713	SERINC3	SHISA2
LOC694640	LOC100425402	FXYD6	APPBP2	SLC39A9	IMPAD1	USMG5	SYP	CEPT1	AMACR	RABGGTB	LOC100426831	DUSP22	LOC707700	SLC35F2	LGI2	PLEKHA8	C6orf105	TMEM187	LOC100428834	LOC717376	PPP2R2C	E2F7	CYB5R3	TEF	ADAM23	WFIKKN2	USP5	CDKL2	GIN1	ROMO1	LOC100425604	LOC708599	FBXL15	ARMCX3	TSEN54	LOC719197	NRGN	DUSP3	ABCC5	LOC705534	LOC707432
PAQR8	P4HA1	RARS	LOC701933	DAPP1	RIPPLY1	EIF3G	EID1	CCDC90B	LGI1	CHRD	LOC701085	LOC100430708	LOC100425520	FNTB	WDHD1	DUSP1	RARS2	ILVBL	LOC703785	MADD	LOC718902	FH	AGL	UBE2G2	CNOT2	ARPP19	LOC710668	LOC696907	LOC722074	LOC100428810	ANO3	RPRD1A	GTF2E2	C6orf154	ANKRD28	LOC708561	MXD1	HCCS	THOC3	OIP5	UBP1
DCXR	ADPGK	CUEDC2	RDH12	LOC704831	MAGEL2	MTCP1NB	TECTA	PLXNB2	GRSF1	STYX	NFXL1	CDK18	NCBP1	LOC698314	LOC707075	KDM1B	LOC712218	NAT2	LPGAT1	RDH14	LANCL1	JUNB	LOC701446	COL12A1	LOC714963	UFSP1	ACP2	B4GALT7	MSL2	BAG3	RWDD2A	PCDHAC1	GDAP1L1	PMPCB	ITPKB	SLC16A4	TMEM138	TNK2	LONRF2	B4GALNT1	RND2
LOC713888	DPP8	WARS	RBM44	MEF2C	DYNC1LI2	KCNJ13	ERCC4	LOC715130	CSNK1G3	IL25	SLC39A12	PFN1	ERRFI1	MKKS	COL4A3	SLC35E4	CCDC149	LOC716586	GPR22	C20H16orf80	CHPF	DCC	SWSAP1	LOC712600	LOC711803	PSMD3	CRYGC	EIF4B	LOC696998	PPIF	LOC714408	CSPP1	UCK1	CDK5R2	LOC714389	ZBTB45	ASNS	LOC698649	NDST2	LOC701067	LOC700629
LOC718491	LOC703685	DNM1	C13H2orf44	MMP19	NPR3	LOC708798	RANGAP1	LOC705906	LOC704395	LOC100426432	DECR1	PTPRZ1	FAM78B	GUCY1B3	SYNPR	LOC100428564	TICAM2	SNPH	LOC717955	LARS	ANKRD9	FAM172A	LOC100428731	ZCCHC14	CD300E	ALDOA	LOC707010	RPP30	LOC709314	PRPSAP1	LOC708314	SLC4A10	ZNF708	C5H4orf33	LOC717459	GCDH	ERLIN1	CYP2C75	EPC2	ZFP37	LOC714244
PITPNM1	SEMA6D	LOC100425749	LMBRD2	DSE	UGT2B15	ATP5H	SNRPD1	MAGEF1	LOC715597	CAMK1	TUBGCP2	ZNF77	LOC714521	CAMSAP1	LOC720679	OAZ2	S1PR2	PYCR1	UBA6	PTK2B	MEF2B	BMP3	DOK1	DFNA5	ICAM1	LOC694102	HTATSF1	MLF2	KDM3B	WNT3	MAP4	ABCC10	LOC694924	UROD	TRMT1L	CPNE2	LOC718626	MRPL39	GFOD2	ADAM11	ACP6
KCNK4	BCORL1	NDUFA2	LOC711108	CAMK1	INO80	CCDC134	FKRP	EML1	STX17	ALG2	DNAH7	LRRC23	MANBAL	PPP2CB	NTNG1	MPV17L2	GIPC1	LOC713375	ACTR5	LOC707831	EMX1	RAB2A	ASCC2	ZNF407	PI4KA	LOC709604	KCNJ5	HECTD2	OSTF1	CAPG	KBTBD11	LOC704595	TCP1	LOC713237	CCT5	TNFRSF10A	AGFG1	CORO2B	NUP62	LOC716330	UCHL3
LOC708981	MYNN	LOC697160	AMIGO1	NDFIP1	GRIK4	C4H6orf62	PDE8B	CMPK1	P4HA1	SLC16A5	PTPRS	UAP1L1	BRF2	ARG2	CCDC151	KLHL18	LOC712130	LCA5L	PPP3CB	PSMF1	GINS3	PEX11A	BMP2K	LOC717773	PEX5L	ZNF500	ATP2A3	AHCY	JUB	IGDCC4	NLE1	LOC708114	MPV17L2	TMEM59L	LOC710829	GPR17	CHAF1B	LOC696658	PRPS1	GOT2	ZSCAN21
HBA2	LOC708235	RNF115	CAV2	METTL11A	THSD1	LOC100428624	PFDN1	THYN1	PAH	LRRC2	EPAS1	LOC713492	NFASC	ZCCHC4	COMMD8	MAGED4B	TMEM14C	KCNN1	SSX2IP	ZNHIT3	YWHAB	C7H14orf142	LOC713715	LOC718875	LOC713768	LOC100427752	DNAJC13	LOC100430132	ST5	RAB32	ARFGEF1	ANXA6	GRIN3A	NAB2	NBN	STAT3	GPR85	SLC12A5	ANKRD13B	B3GNT4	RWDD3
PKN3	LOC708961	LOC714741	ZBTB9	CAP2	PHC2	MCART1	LOC100423904	NELL1	LOC706468	ATF7IP2	LOC708164	RAB37	USO1	LOC697993	C10H20orf26	BRD7	MAMU-DRB5	CC2D2A	TPMT	ENTPD7	LOC719551	LOC722155	PARP11	ITGB3	LOC705656	ATP5A1	LOC711178	NBEA	KCTD2	LOC714437	LOC721932	LOC719049	TAGLN3	JKAMP	NMD3	ASIC2	CCDC85B	AP1B1	VPS33B	VAMP4	CHCHD8
LOC709838	EDEM3	DAB1	GJA1	MATR3	BCO2	LOC708341	BUD31	HINFP	ZRANB3	GMIP	ZNF165	USP21	HOOK1	AMN1	LOC716195	CGREF1	MZT2B	LOC707982	MGAT5B	BCOR	PNPLA3	POLR1B	GNG10	FGF11	LOC714723	CBFA2T2	TGM7	NDUFS8	LOC100424666	ABL1	CEBPG	IRS2	CHRM1	LOC702452	CSTB	MMP2	HPCAL4	LOC695259	PPP1R1A	LOC722716	PSMA2
MAP3K14	LOC714521	PSMD6	ABCD4	ACSL4	LOC722098	LOC700603	CHMP2A	C14orf153	LOC716720	BTBD9	LOC697476	LOC100427196	GPBP1	LOC696174	LOC721669	LOC702903	LOC713711	IFIH1	COQ3	FAM123C	FAM71F1	GAPVD1	ELK4	EHMT2	CPB2	ADCK2	FZD10	FBXO31	CCDC102A	LIMS2	TMEM35	NDUFS4	LDLR	LOC711835	LIMS1	LOC100429982	LOC695038	LOC703717	VPS4A	PLCL1	RNF182
LOC717988	PFDN4	ODC1	IQCC	AKT3	SOX6	C5AR1	USP49	KLHL18	PLBD2	RIPK2	LOC714932	NFE2L2	TBC1D19	NFIL3	GALNT1	LOC713336	GABARAP	RHCG	SH3BP1	TMEM50A	OPN5	PROK2	STX17	LOC712092	LOC710966	LOC710213	LOC708585	B3GNT1	ANXA4	LOC705927	KLHL7	RBM15B	LOC100428162	EBNA1BP2	HNRPLL	ATRAID	RAB22A	LOC702233	CDK10	LOC713768	PAQR8
